,RowNumber,CustomerId,CreditScore,Gender,Balance,NumOfProducts,HasCrCard,IsActiveMember,Age,Geography,EstimatedSalary,Surname,Exited,Tenure
0,1,15634602,619,Female,0.0,1,1,1,42,Texas,101348.88,Hargrave,1,2
1,2,15647311,608,Female,83807.86,1,0,1,41,California,112542.58,Hill,0,1
2,3,15619304,502,Female,159660.8,3,1,0,42,Texas,113931.57,Onio,1,8
3,4,15701354,699,Female,0.0,2,0,0,39,Texas,93826.63,Boni,0,1
4,5,15737888,850,Female,125510.82,1,1,1,43,California,79084.1,Mitchell,0,2
5,6,15574012,645,Male,113755.78,2,1,0,44,California,149756.71,Chu,0,8
6,7,15592531,822,Male,0.0,2,1,1,50,Texas,10062.8,Bartlett,0,7
7,8,15656148,376,Female,115046.74,4,1,0,29,Alabama,119346.88,Obinna,1,4
8,9,15792365,501,Male,142051.07,2,0,1,,Texas,74940.5,He,0,4
9,10,15592389,684,Male,134603.88,1,1,1,,Texas,71725.73,H?,0,2
10,11,15767821,528,Male,102016.72,2,0,0,31,Texas,80181.12,Bearce,0,6
11,12,15737173,497,Male,0.0,2,1,0,24,California,76390.01,Andrews,0,3
12,13,15632264,476,Female,0.0,2,1,0,34,Texas,26260.98,Kay,0,100
13,14,15691483,549,Female,0.0,2,0,0,25,Texas,190857.79,Chin,0,5
14,15,15600882,635,Female,0.0,2,1,1,35,California,65951.65,Scott,0,7
15,16,15643966,616,Male,143129.41,2,0,1,45,Alabama,64327.26,Goforth,0,3
16,17,15737452,653,Male,132602.88,1,1,0,,Alabama,5097.67,Romeo,1,1
17,18,15788218,549,Female,0.0,2,1,1,24,California,,,0,9
18,19,15661507,587,Male,0.0,1,0,0,45,California,158684.81,Muldrow,0,6
19,20,15568982,726,Female,0.0,2,1,1,,Texas,54724.03,Hao,0,6
20,21,15577657,732,Male,0.0,2,1,1,41,Texas,170886.17,McDonald,0,8
21,22,15597945,636,Female,0.0,2,1,0,32,California,138555.46,Dellucci,0,8
22,23,15699309,510,Female,0.0,1,1,0,38,California,118913.53,Gerasimov,0,4
23,24,15725737,669,Male,0.0,2,0,1,46,Texas,8487.75,Mosman,0,3
24,25,15625047,846,Female,0.0,1,1,1,38,Texas,187616.16,Yen,0,5
25,26,15738191,577,Male,0.0,2,0,1,25,Texas,124508.29,Maclean,0,3
26,27,15736816,756,Male,136815.64,1,1,1,36,Alabama,170041.95,Young,0,2
27,28,15700772,571,Male,0.0,2,0,0,44,Texas,38433.35,Nebechi,0,9
28,29,15728693,574,Female,141349.43,1,1,1,43,Alabama,100187.43,McWilliams,0,3
29,30,15656300,411,Male,59697.17,2,1,1,29,Texas,53483.21,Lucciano,0,0
30,31,15589475,591,Female,0.0,3,1,0,39,California,140469.38,Azikiwe,0,3
31,32,15706552,533,Male,85311.7,1,0,1,36,Texas,156731.91,Odinakachukwu,0,7
32,33,15750181,553,Male,110112.54,2,0,0,41,Alabama,81898.81,Sanderson,0,9
33,34,15659428,520,Female,0.0,2,1,1,42,California,34410.55,Maggard,0,6
34,35,15732963,722,Female,0.0,2,1,1,29,California,142033.07,Clements,0,9
